Class,Subclass,SubclassCategory,Commands,Response,Label
NonBike,Not needed,NC,Learn to juggle,Embarking on the journey of mastering the art of juggling with balls or clubs.,0
NonBike,Not needed,NC,Build a sandcastle at the beach,Enjoying a day at the beach by crafting an intricate sandcastle.,0
NonBike,Not needed,NC,Study quantum physics concepts,Exploring the principles of quantum physics to understand the behavior of particles.,0
NonBike,Not needed,NC,Compose a piano sonata,Expressing musical creativity by composing a classical piano sonata.,0
NonBike,Not needed,NC,Conduct a chemistry experiment,Performing a hands-on chemistry experiment to observe chemical reactions.,0
NonBike,Not needed,NC,Practice martial arts,Engaging in martial arts training to improve physical fitness and self-defense skills.,0
NonBike,Not needed,NC,Write a short science fiction story,Immersing into the realm of science fiction to create an imaginative story.,0
NonBike,Not needed,NC,Create a DIY home decor project,Enhancing home aesthetics through a do-it-yourself home decor project.,0
NonBike,Not needed,NC,Learn to play chess,Mastering the strategic game of chess to enhance critical thinking skills.,0
NonBike,Not needed,NC,Explore underwater photography,Capturing the beauty of marine life through the lens of underwater photography.,0
NonBike,Not needed,NC,Practice calligraphy,Refining the art of calligraphy by practicing different writing styles and techniques.,0
NonBike,Not needed,NC,Bake a three-layer cake,Baking a delicious three-layer cake with frosting and decorations.,0
NonBike,Not needed,NC,Learn basic astronomy,Studying celestial objects and phenomena to gain insights into basic astronomy.,0
NonBike,Not needed,NC,Design a mobile game app,Creating an engaging mobile game app with unique features and gameplay.,0
NonBike,Not needed,NC,Solve a complex mathematical problem,Tackling a challenging mathematical problem to sharpen problem-solving skills.,0
NonBike,Not needed,NC,Start a book club,Initiating a book club to discuss and share thoughts on literature with others.,0
NonBike,Not needed,NC,Learn to knit a scarf,Mastering the skill of knitting to create a warm and stylish scarf.,0
NonBike,Not needed,NC,Practice mindfulness meditation,Engaging in mindfulness meditation to cultivate present moment awareness.,0
NonBike,Not needed,NC,Contribute to an open-source project,Collaborating with the open-source community by contributing to a project.,0
NonBike,Not needed,NC,Study the history of ancient civilizations,Exploring the rich history of ancient civilizations to gain historical insights.,0
NonBike,Not needed,NC,Learn to play a new board game,Mastering the rules and strategies of a new board game for entertainment.,0
NonBike,Not needed,NC,Experiment with watercolor painting,Expressing creativity through watercolor painting with various techniques.,0
NonBike,Not needed,NC,Start a podcast,Initiating a podcast to share thoughts or ideas and discussions on a specific topic.,0
NonBike,Not needed,NC,Explore birdwatching in a nature reserve,Observing and identifying birds in a natural habitat through birdwatching.,0
NonBike,Not needed,NC,Learn basic woodworking,Acquiring basic woodworking skills to create small projects or furniture.,0
NonBike,Not needed,NC,Start a vegetable garden at home,Planting and growing a variety of vegetables in a home garden.,0
NonBike,Not needed,NC,Study the principles of psychology,Understanding the fundamental principles of psychology to explore human behavior.,0
NonBike,Not needed,NC,Conduct a physics experiment at home,Setting up and conducting a physics experiment to explore scientific concepts.,0
NonBike,Not needed,NC,Create a digital artwork using graphic design software,Designing a unique digital artwork with graphic design tools.,0
NonBike,Not needed,NC,Learn to play the ukulele,Embarking on a musical journey to master the ukulele and play various tunes.,0
NonBike,Not needed,NC,Experiment with indoor hydroponic gardening,Exploring hydroponic gardening techniques for growing plants indoors.,0
NonBike,Not needed,NC,Write a poem inspired by the night sky,Crafting a poetic masterpiece inspired by the celestial wonders of the night sky.,0
NonBike,Not needed,NC,Practice mindfulness through mindful walking,Engaging in mindful walking as a practice for enhanced awareness.,0
NonBike,Not needed,NC,Build a model rocket and launch it,Constructing a model rocket and experiencing the thrill of a successful launch.,0
NonBike,Not needed,NC,Study the basics of machine learning algorithms,Gaining insights into machine learning algorithms for data analysis.,0
NonBike,Not needed,NC,Start a daily gratitude journal,Expressing gratitude by maintaining a daily journal to reflect on positive aspects.,0
NonBike,Not needed,NC,Learn to perform card magic tricks,Mastering card magic techniques to amaze and entertain others.,0
NonBike,Not needed,NC,Create a DIY terrarium,Designing a miniature ecosystem within a glass container for indoor decoration.,0
NonBike,Not needed,NC,Study the history of ancient art movements,Exploring the evolution of ancient art movements and their cultural significance.,0
NonBike,Not needed,NC,Write a short story set in a fantasy world,Crafting a captivating short story set in a fantastical and imaginary realm.,0
NonBike,Not needed,NC,Learn the art of bonsai cultivation,Cultivating and shaping miniature bonsai trees as a form of artistic expression.,0
NonBike,Not needed,NC,Experiment with molecular gastronomy techniques,Exploring innovative culinary techniques in molecular gastronomy.,0
NonBike,Not needed,NC,Start a blog about sustainable living,Sharing insights and tips on sustainable living through an informative blog.,0
NonBike,Not needed,NC,Practice yoga for flexibility and balance,Engaging in yoga poses to improve flexibility and enhance overall balance.,0
NonBike,Not needed,NC,Learn to solve a Rubik's Cube blindfolded,Mastering the skill of solving a Rubik's Cube without visual cues.,0
NonBike,Not needed,NC,Create a personalized workout routine,Designing a customized workout plan to achieve specific fitness goals.,0
NonBike,Not needed,NC,Study the principles of environmental conservation,Understanding key principles of environmental conservation for sustainable living.,0
NonBike,Not needed,NC,Learn to play chess variants like Three-Check,Exploring chess variants to add a unique and strategic twist to the game.,0
NonBike,Not needed,NC,Experiment with acrylic pour painting,Creating abstract artwork through the mesmerizing technique of acrylic pour painting.,0
NonBike,Not needed,NC,Start a community book exchange program,Initiating a book exchange program to promote community reading.,0
NonBike,Not needed,NC,Learn to make artisanal chocolates from scratch,Mastering the art of crafting delicious artisanal chocolates at home.,0
NonBike,Not needed,NC,Practice Tai Chi for relaxation and wellness,Engaging in the gentle and flowing movements of Tai Chi for relaxation.,0
NonBike,Not needed,NC,Create a DIY natural skincare routine,Formulating a personalized skincare routine using natural and homemade products.,0
NonBike,Not needed,NC,Study the fundamentals of astrophotography,Capturing stunning images of celestial objects through the art of astrophotography.,0
NonBike,Not needed,NC,Start a community composting initiative,Initiating a community composting program to reduce organic waste.,0
NonBike,Not needed,NC,Learn to code a mobile app for a social cause,Developing a mobile app with a focus on addressing social or environmental issues.,0
NonBike,Not needed,NC,Experiment with 3D printing technology,Exploring the possibilities of 3D printing to create innovative and functional objects.,0
NonBike,Not needed,NC,Create a digital comic strip series,Designing and illustrating a series of digital comic strips with engaging narratives.,0
NonBike,Not needed,NC,Learn basic origami,Mastering the art of origami to create intricate paper sculptures.,0
NonBike,Not needed,NC,Practice mindful breathing yoga,Engaging in mindful breathing exercises for relaxation and stress relief.,0
NonBike,Not needed,NC,Create a DIY birdhouse from recycled materials,Crafting a birdhouse using recycled materials for an eco-friendly project.,0
NonBike,Not needed,NC,Study the principles of architectural design,Exploring architectural design principles for creating aesthetically pleasing structures.,0
NonBike,Not needed,NC,Learn to identify constellations with a stargazing app,Using a stargazing app to identify constellations in the night sky.,0
NonBike,Not needed,NC,Experiment with making homemade soap,Creating personalized soap bars using natural ingredients and scents.,0
NonBike,Not needed,NC,Start a community garden project,Initiating a community garden to promote sustainable agriculture and community bonding.,0
NonBike,Not needed,NC,Learn the basics of 3D animation,Exploring the fundamentals of 3D animation for creating dynamic visual content.,0
NonBike,Not needed,NC,Practice interval training for high fitness,Incorporating interval training into the workout routine for improved cardiovascular health.,0
NonBike,Not needed,NC,Create a stop-motion animation short film,Producing a captivating stop-motion animation using everyday objects.,0
NonBike,Not needed,NC,Learn to play a traditional board game from another culture,Mastering the rules and strategies of a traditional board game from a different culture.,0
NonBike,Not needed,NC,Experiment with hydro dipping techniques on various items,Using hydro dipping to add vibrant and unique patterns to different surfaces.,0
NonBike,Not needed,NC,Start a virtual book club,Initiating a virtual book club to connect with readers and discuss literary works online.,0
NonBike,Not needed,NC,Learn the basics of urban sketching,Developing urban sketching skills to capture scenes from city life in a sketchbook.,0
NonBike,Not needed,NC,Practice mindful eating habits,Adopting mindful eating practices to enhance awareness and appreciation of food.,0
NonBike,Not needed,NC,Create a DIY indoor herb garden,Setting up a small indoor herb garden for fresh herbs in cooking.,0
NonBike,Not needed,NC,Learn the art of paper quilling,Mastering the intricate craft of paper quilling to create decorative designs.,0
NonBike,Not needed,NC,Experiment with low-light photography,Exploring the techniques of low-light photography for capturing captivating images in dim conditions.,0
NonBike,Not needed,NC,Start a podcast on personal development,Launching a podcast focusing on personal growth and self-improvement and motivation.,0
NonBike,Not needed,NC,Learn to make sushi at home,Mastering the art of sushi-making for a delightful and authentic culinary experience.,0
NonBike,Not needed,NC,Experiment with augmented reality (AR) apps,Exploring and creating augmented reality experiences using AR apps.,0
NonBike,Not needed,NC,Start a digital art journal,Creating a digital art journal to document thoughts or ideas and creative expressions.,0
NonBike,Not needed,NC,Learn to play a musical instrument like the harmonica,Mastering the harmonica to play melodies and tunes.,0
NonBike,Not needed,NC,Practice indoor rock climbing,Engaging in indoor rock climbing for physical fitness and adventure.,0
NonBike,Not needed,NC,Create a personalized fragrance blend,Blending essential oils to create a personalized and unique fragrance.,0
NonBike,Not needed,NC,Learn basic sign language,Mastering basic sign language for effective communication with the hearing-impaired.,0
NonBike,Not needed,NC,Experiment with astrophotography using a telescope,Capturing celestial objects through astrophotography using a telescope.,0
NonBike,Not needed,NC,Start a mindfulness meditation group,Initiating a mindfulness meditation group to share and practice mindfulness techniques.,0
NonBike,Not needed,NC,Learn to make artisanal candles from scratch,Mastering the craft of candle-making using natural waxes and scents.,0
NonBike,Not needed,NC,Embark on a photography scavenger hunt,Exploring the surroundings with a camera and capturing specific items on a photo scavenger hunt.,0
NonBike,Not needed,NC,Learn the basics of pottery,Mastering the fundamentals of pottery to create handmade ceramic pieces.,0
NonBike,Not needed,NC,Create a DIY terrazzo-style home decor,Designing unique home decor items with a terrazzo-inspired pattern.,0
NonBike,Not needed,NC,Practice mindful walking meditation,Engaging in mindful walking as a meditation practice for centered awareness.,0
NonBike,Not needed,NC,Start a virtual language exchange group,Initiating a virtual group for language exchange to practice and learn new languages.,0
NonBike,Not needed,NC,Learn the art of shadow puppetry,Mastering the techniques of creating and performing with shadow puppets.,0
NonBike,Not needed,NC,Experiment with creating custom fragrances,Blending various scents to create a personalized and unique fragrance.,0
NonBike,Not needed,NC,Build a miniature model train set,Constructing a detailed model train set for a miniature railroad experience.,0
NonBike,Not needed,NC,Start a community storytelling project,Initiating a community storytelling initiative to share and preserve personal narratives.,0
NonBike,Not needed,NC,Learn to identify wildflowers in nature,Exploring and identifying different wildflower species in natural environments.,0
NonBike,Not needed,NC,Create a DIY herb-infused cooking oil,Infusing oils with herbs to add flavor and aromatic elements to culinary creations.,0
NonBike,Not needed,NC,Practice laughter yoga for joy and well-being,Engaging in laughter yoga exercises for health and emotional well-being.,0
NonBike,Not needed,NC,Start a virtual painting club,Initiating a virtual club for artists to create and share their paintings online.,0
NonBike,Not needed,NC,Learn to make homemade fruit preserves,Mastering the art of preserving fruits to create delicious homemade jams and jellies.,0
NonBike,Not needed,NC,Experiment with hydroponic herb gardening,Growing herbs hydroponically for a sustainable and space-efficient gardening experience.,0
NonBike,Not needed,NC,Start a digital minimalism challenge,Initiating a challenge to declutter digital spaces and practice digital minimalism.,0
NonBike,Not needed,NC,Learn the art of mindfulness coloring,Engaging in mindfulness coloring activities for relaxation and stress relief.,0
NonBike,Not needed,NC,Create a DIY vertical garden,Designing and building a vertical garden for cultivating plants in limited space.,0
NonBike,Not needed,NC,Practice aerial silks for fitness and flexibility,Engaging in aerial silks exercises to improve strength and flexibility.,0
NonBike,Not needed,NC,Start a virtual board game night,Initiating virtual board game sessions with friends and family for entertainment.,0
NonBike,Not needed,NC,Learn to create 3D origami sculptures,Mastering the intricate art of creating 3D origami sculptures with multiple folded pieces.,0
NonBike,Not needed,NC,Experiment with making homemade natural skincare products,Creating personalized skincare products using natural and organic ingredients.,0
NonBike,Not needed,NC,Start a gratitude journaling practice,Initiating a daily practice of gratitude journaling to cultivate a positive mindset.,0
NonBike,Not needed,NC,Learn to solve a challenging puzzle,Mastering the strategies to solve complex puzzles for mental stimulation.,0
NonBike,Not needed,NC,Create a DIY bird feeder from recycled materials,Designing and building a bird feeder using recycled materials for birdwatching.,0
NonBike,Not needed,NC,Practice aerial hoop (lyra) for circus arts,Engaging in aerial hoop exercises to develop strength and skills in circus arts.,0
NonBike,Not needed,NC,Start a virtual astronomy club,Initiating a virtual club for astronomy enthusiasts to discuss celestial observations.,0
NonBike,Not needed,NC,Learn the art of Feng Shui for home harmony,Mastering principles of Feng Shui to create a harmonious and balanced living space.,0
NonBike,Not needed,NC,Experiment with acrylic pouring on different surfaces,Creating abstract artworks through acrylic pouring on various surfaces.,0
NonBike,Not needed,NC,Learn to make homemade pasta from scratch,Mastering the art of pasta-making to create delicious handmade noodles.,0
NonBike,Not needed,NC,Start a virtual coding club for kids,Initiating an online coding club to teach programming skills to young learners.,0
NonBike,Not needed,NC,Experiment with creating DIY plant-based dyes,Using natural ingredients to create plant-based dyes for fabric or art projects.,0
NonBike,Not needed,NC,Practice circus juggling with bean bags,Engaging in juggling exercises using bean bags for coordination and entertainment.,0
NonBike,Not needed,NC,Create a DIY indoor hammock chair,Designing and crafting a comfortable indoor hammock chair for relaxation.,0
NonBike,Not needed,NC,Learn to identify bird calls in the wild,Exploring the world of birdwatching by identifying different bird calls.,0
NonBike,Not needed,NC,Start a virtual trivia night with friends,Initiating a virtual trivia night for fun and friendly competition.,0
NonBike,Not needed,NC,Experiment with making homemade kombucha,Creating your own batch of kombucha for a refreshing and probiotic-rich beverage.,0
NonBike,Not needed,NC,Practice mindfulness through mindful eating,Engaging in mindful eating exercises for a more conscious and enjoyable dining experience.,0
NonBike,Not needed,NC,Start a virtual fitness challenge group,Initiating a virtual fitness challenge group to encourage healthy habits and workouts.,0
NonBike,Not needed,NC,Learn the basics of astrophysics,Exploring fundamental concepts in astrophysics to understand the workings of the universe.,0
NonBike,Not needed,NC,Experiment with creating DIY natural insect repellent,Formulating natural insect repellents using essential oils for outdoor activities.,0
NonBike,Not needed,NC,Practice freestyle dance for self-expression,Engaging in freestyle dance sessions to express creativity and emotions through movement.,0
NonBike,Not needed,NC,Start a virtual book review club,Initiating a virtual club to discuss and review books with fellow literature enthusiasts.,0
NonBike,Not needed,NC,Learn to make artisanal soap with essential oils,Mastering the craft of soap-making using essential oils for a luxurious bathing experience.,0
NonBike,Not needed,NC,Experiment with creating DIY recycled paper,Transforming old paper into new handmade recycled paper for sustainable crafting.,0
NonBike,Not needed,NC,Practice mindfulness meditation with guided sessions,Engaging in guided mindfulness meditation sessions for relaxation and focus.,0
NonBike,Not needed,NC,Start a virtual language learning exchange,Initiating a virtual exchange to practice language skills with speakers of different languages.,0
NonBike,Not needed,NC,Learn the basics of permaculture gardening,Exploring permaculture principles for sustainable and eco-friendly gardening practices.,0
NonBike,Not needed,NC,Experiment with creating DIY natural cleaning products,Formulating natural cleaning products using household ingredients for a chemical-free home.,0
NonBike,Not needed,NC,Practice Hula Hoop exercises for fitness,Engaging in Hula Hoop exercises to improve core strength and cardiovascular fitness.,0
NonBike,Not needed,NC,Start a virtual photography challenge group,Initiating a virtual photography challenge group to inspire and share creative captures.,0
NonBike,Not needed,NC,Learn to make homemade ice cream without a machine,Mastering the art of crafting delicious ice cream without the need for specialized equipment.,0
NonBike,Not needed,NC,Experiment with creating DIY beeswax wraps,Designing eco-friendly beeswax wraps for food storage as an alternative to plastic.,0
NonBike,Not needed,NC,Practice mindfulness through nature journaling,Engaging in nature journaling to connect with the natural world and foster mindfulness.,0
NonBike,Not needed,NC,Start a virtual art therapy group,Initiating a virtual art therapy group to explore and express emotions through artistic activities.,0
NonBike,Not needed,NC,Learn the basics of neurobiology,Exploring foundational concepts in neurobiology to understand the brain and nervous system.,0
NonBike,Not needed,NC,Experiment with creating DIY herbal teas,Blending herbal teas using dried herbs and flowers for personalized and soothing beverages.,0
NonBike,Not needed,NC,Practice acupressure techniques for relaxation,Engaging in acupressure exercises for stress relief and overall well-being.,0
NonBike,Not needed,NC,Learn to make homemade sourdough bread,Mastering the art of sourdough bread-making for a delightful homemade loaf.,0
NonBike,Not needed,NC,Start a virtual DIY crafting workshop,Initiating an online workshop for crafting enthusiasts to learn and create together.,0
NonBike,Not needed,NC,Experiment with creating personalized scented candles,Designing and making scented candles with unique fragrances.,0
NonBike,Not needed,NC,Practice Qi Gong exercises for energy balance,Engaging in Qi Gong exercises to promote energy balance and well-being.,0
NonBike,Not needed,NC,Start a virtual coding challenge for beginners,Initiating an online coding challenge for beginners to enhance programming skills.,0
NonBike,Not needed,NC,Learn to make homemade pickles from fresh vegetables,Mastering the skill of pickling fresh vegetables for delicious homemade pickles.,0
NonBike,Not needed,NC,Experiment with creating DIY eco-friendly cleaning sponges,Crafting eco-friendly cleaning sponges using natural materials.,0
